"","date","allMean","sd"
"114","2017-05-07",-0.0221268,0.425158167158718
"113","2017-05-08",-0.1545987,0.416751005119736
"118","2017-05-09",-0.1944402,0.424065258921266
"119","2017-05-10",-0.1086883,0.419209924110952
"116","2017-05-11",-0.0841855,0.386518781664941
"115","2017-05-12",-0.0429499,0.388715659164884
"117","2017-05-13",-0.0309784,0.426486423175979
"125","2017-05-15",-0.0738146,0.391821599821705
"121","2017-05-16",-0.0246809,0.410331202037074
"120","2017-05-17",0.000275799999999995,0.421079194848618
"124","2017-05-18",-0.0553536,0.403478303192427
"126","2017-05-19",-0.0237452,0.41372938152488
"122","2017-05-20",-0.0657268,0.457454190167453
"123","2017-05-21",0.0172986,0.455768738372916
"128","2017-05-22",-0.0309217,0.450751070768678
"129","2017-05-23",-0.0903391,0.448629759781036
"131","2017-05-24",-0.0805832,0.444120090963874
"133","2017-05-25",-0.0846223,0.42668791261613
"130","2017-05-26",-0.0237277,0.405837886110587
"127","2017-05-27",-0.1026538,0.453212188125562
"132","2017-05-28",-0.0196279,0.486009736519331
"134","2017-05-29",-0.0342975,0.453630085558432
"140","2017-05-30",-0.1424136,0.443713167141837
"135","2017-05-31",-0.0968736,0.474015491669882
"138","2017-06-01",-0.0041425,0.444830599109088
"139","2017-06-02",-0.0326512,0.452418432469943
"137","2017-06-03",-0.1745813,0.473401502342684
"136","2017-06-04",-0.1263817,0.472316665718149
"144","2017-06-05",-0.1215727,0.441811650553389
"147","2017-06-06",-0.1531602,0.433399034535104
"143","2017-06-07",-0.0509667,0.425549244084759
"146","2017-06-08",-0.0435158,0.430370882600531
"142","2017-06-09",-0.0273426,0.427686625656262
"145","2017-06-10",-0.0778937,0.424816098741926
"141","2017-06-11",-0.0624485,0.426384273182947
"153","2017-06-12",-0.0241572,0.442821252796385
"148","2017-06-13",-0.0528088,0.435448718751772
"150","2017-06-14",-0.0551938,0.497169117928256
"154","2017-06-15",-0.0540476,0.4446188940365
"149","2017-06-16",-0.0267525,0.42721510812909
"151","2017-06-17",-0.0805199,0.445601388635617
"152","2017-06-18",-0.0078558,0.449552462929923
"160","2017-06-19",-0.0092784,0.442220596414776
"155","2017-06-20",-0.0377996,0.430540758465258
"157","2017-06-21",0.0562744,0.41124164162283
"158","2017-06-22",-0.0102567,0.458353116008946
"161","2017-06-23",-0.0722948,0.427628276559163
"159","2017-06-24",-0.0588654,0.419543274863083
"156","2017-06-25",-0.0080761,0.425020626109828
"162","2017-06-26",-0.0549988,0.484703211582676
"164","2017-06-27",-0.0957318,0.436228434502796
"168","2017-06-28",-0.1116646,0.450494789966366
"163","2017-06-29",-0.1385212,0.440561317151835
"166","2017-06-30",-0.0824151,0.437066180437231
"165","2017-07-01",-0.0467204,0.436722920515789
"167","2017-07-02",-0.1265334,0.444458105814755
"172","2017-07-03",-0.0809065,0.46993724318014
"174","2017-07-04",0.0245116,0.451493400821585
"173","2017-07-05",0.0078263,0.471768623244817
"171","2017-07-06",-0.0653708,0.434802734636479
"170","2017-07-07",0.0212886,0.418608501526235
"169","2017-07-08",-0.0452545,0.421720936805075
"175","2017-07-09",-0.0553614,0.392239783716593
"180","2017-07-10",-0.0514281,0.42590559778006
"176","2017-07-11",-0.039312,0.412046864708373
"182","2017-07-12",-0.044075,0.430433228428057
"179","2017-07-13",-0.0566761,0.430921116468885
"181","2017-07-14",-0.015838,0.434320897213109
"177","2017-07-15",-0.0018052,0.425618597024331
