president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Adults,5/6/2018,41.63478,46.23344,37.03612,51.85504,56.33564,47.37445,5/8/2018 13:08
Donald Trump,All polls,5/6/2018,42.0897,47.08581,37.09359,52.03342,56.22984,47.83699,5/8/2018 13:07
Donald Trump,Adults,5/5/2018,41.63478,46.23344,37.03612,51.85504,56.33564,47.37445,5/8/2018 13:08
Donald Trump,All polls,5/5/2018,42.0897,47.08581,37.09359,52.03342,56.22984,47.83699,5/8/2018 13:08
Donald Trump,Voters,5/5/2018,44.46766,49.22652,39.70879,51.08508,55.21093,46.95922,5/8/2018 13:09
Donald Trump,Adults,5/4/2018,40.6316,44.33444,36.92875,52.52063,56.79234,48.24892,5/4/2018 9:35
Donald Trump,Voters,5/4/2018,43.6785,48.15509,39.20191,51.79247,55.71738,47.86755,5/4/2018 9:35
Donald Trump,All polls,5/4/2018,41.41713,46.11049,36.72378,52.48483,56.55785,48.41181,5/4/2018 9:35
Donald Trump,Voters,5/3/2018,43.54569,47.88125,39.21012,51.8676,55.74757,47.98762,5/3/2018 14:54
Donald Trump,Adults,5/3/2018,40.6316,44.33444,36.92875,52.52063,56.79234,48.24892,5/3/2018 14:54
Donald Trump,All polls,5/3/2018,41.31839,45.84707,36.7897,52.53112,56.56741,48.49483,5/3/2018 14:54
Donald Trump,Voters,5/2/2018,43.28582,47.49665,39.07499,52.10906,55.99072,48.22739,5/2/2018 9:39
Donald Trump,Adults,5/2/2018,40.41153,44.0333,36.78975,53.05294,57.58961,48.51627,5/2/2018 9:39
Donald Trump,All polls,5/2/2018,41.15172,45.58456,36.71887,52.91795,57.06516,48.77075,5/2/2018 9:39
Donald Trump,Adults,5/1/2018,40.40989,44.10563,36.71415,53.1492,57.61831,48.68009,5/1/2018 15:07
Donald Trump,Voters,5/1/2018,43.46177,47.69133,39.2322,51.83176,55.74319,47.92033,5/1/2018 15:07
Donald Trump,All polls,5/1/2018,41.21312,45.61552,36.81073,52.94305,57.03444,48.85167,5/1/2018 15:07
Donald Trump,Voters,4/30/2018,42.08463,46.4336,37.73566,53.31245,56.81771,49.80718,4/30/2018 13:09
Donald Trump,Adults,4/30/2018,39.54348,43.30031,35.78666,54.13103,58.57912,49.68293,4/30/2018 13:09
Donald Trump,All polls,4/30/2018,40.64146,45.26828,36.01463,53.66854,57.75338,49.58371,4/30/2018 13:09
