date,allMean,prop0,propPos,posMean,negMean,allMeanOrig,prop0Orig,propPosOrig,posMeanOrig,negMeanOrig
2017-01-19,0.0094122,0.303,0.318,0.50606918239,-0.399783113456,0.0542061674009,0.2775330396475771,0.40969162995594716,0.481597849462,-0.457518309859
2017-01-22,-0.0545826,0.283,0.31,0.41352516129,-0.44907960688,-0.0385356164384,0.2648401826484018,0.3470319634703196,0.454631578947,-0.50578
2017-01-18,-0.0251781,0.274,0.358,0.445589385475,-0.501899728261,-0.015623630137,0.2808219178082192,0.3458904109589041,0.465096039604,-0.472814678899
2017-01-17,-0.0405684,0.245,0.338,0.450451183432,-0.462400239808,-0.0259093023256,0.22093023255813954,0.34108527131782945,0.452061363636,-0.411203539823
2017-01-16,-0.0531347,0.266,0.322,0.438493167702,-0.471673543689,-0.0414778688525,0.21311475409836064,0.35655737704918034,0.452952873563,-0.47169047619
2017-01-20,-0.0150144,0.293,0.324,0.487035802469,-0.451211488251,-0.00883586956522,0.2608695652173913,0.3695652173913043,0.439361764706,-0.463270588235
2017-01-21,-0.0815047,0.269,0.262,0.452952290076,-0.426819189765,0.0400061797753,0.2640449438202247,0.39325842696629215,0.500502857143,-0.457608196721
2017-01-22,0.012067,0.234,0.401,0.428406483791,-0.4376,-0.00426534653465,0.25742574257425743,0.3811881188118812,0.437909090909,-0.473706849315
2017-01-24,-0.0204819,0.255,0.361,0.436473130194,-0.463668489583,-0.0445276315789,0.3026315789473684,0.3157894736842105,0.455065277778,-0.493298850575
2017-01-25,-0.0807967,0.267,0.295,0.430491525424,-0.474410273973,-0.0881480582524,0.2961165048543689,0.2912621359223301,0.434145,-0.520084705882
2017-01-27,-0.1120487,0.269,0.268,0.434406716418,-0.493455075594,-0.0900293650794,0.25396825396825395,0.30158730158730157,0.425264473684,-0.491138392857
2017-01-23,-0.0219907,0.234,0.354,0.428184180791,-0.42128131068,-0.0376800925926,0.27314814814814814,0.3101851851851852,0.476959701493,-0.445502222222
2017-01-28,-0.1459563,0.187,0.284,0.403003521127,-0.49226710775,-0.176710526316,0.18421052631578946,0.25,0.392481578947,-0.485747674419
2017-01-26,-0.082819,0.274,0.28,0.426463928571,-0.453428026906,-0.0421049773756,0.27149321266968324,0.3257918552036199,0.454034722222,-0.471861797753
2017-01-31,-0.1038829,0.263,0.278,0.43174352518,-0.487816122004,-0.0637025252525,0.29292929292929293,0.2777777777777778,0.520805454545,-0.485381176471
2017-01-30,-0.0979478,0.239,0.294,0.468175510204,-0.504478372591,-0.108278508772,0.18421052631578946,0.32894736842105265,0.460041333333,-0.533248648649
2017-02-02,-0.0351592,0.263,0.339,0.462225073746,-0.482043969849,-0.0686066037736,0.32075471698113206,0.2830188679245283,0.473076666667,-0.511061904762
2017-02-03,-0.0717364,0.276,0.316,0.410599367089,-0.493837745098,-0.0912745833333,0.26666666666666666,0.2875,0.442184057971,-0.489874766355
2017-02-04,-0.1189374,0.24,0.292,0.440680821918,-0.529094444444,-0.0697506912442,0.29493087557603687,0.2995391705069124,0.415892307692,-0.479192045455
